locId,country,region,city,postalCode,latitude,longitude,metroCode,areaCode
Line 173474: 173472,"LB","05","Al Fasqin","",33.8667,35.8167,,
Line 178746: 178744,"LB","03","Zgharta","",34.3997,35.8933,,
Line 180877: 180875,"LB","05","Damour","",33.7303,35.4550,,
Line 181268: 181266,"LB","05","Aley","",33.8067,35.5994,,
Line 183092: 183090,"LB","05","Adma","",34.0167,35.6500,,
Line 184469: 184467,"LB","02","Jazzin","",33.5417,35.5889,,
Line 185384: 185382,"LB","03","Bterrâm","",34.3319,35.8083,,
Line 185385: 185383,"LB","03","Batroûn","",34.2500,35.6500,,
Line 192767: 192765,"LB","05","Brummana","",33.8847,35.6333,,
Line 195570: 195568,"LB","05","Ajaltoun","",33.9667,35.6833,,
Line 195927: 195925,"LB","05","Bchamoun","",33.7833,35.5333,,
Line 198107: 198105,"LB","05","Arsoûn","",33.8667,35.6833,,
Line 198620: 198618,"LB","02","Sur","",33.2711,35.1964,,
Line 199008: 199006,"LB","05","Tabarja","",34.0333,35.6333,,
Line 205059: 205057,"LB","05","Jamhoûr","",33.8333,35.5667,,
Line 205497: 205495,"LB","01","Al Mahattah","",33.8333,35.8333,,
Line 206002: 206000,"LB","05","Aïn Aâr","",33.9167,35.6500,,
Line 207586: 207584,"LB","05","Falougha","",33.8333,35.7333,,
Line 208310: 208308,"LB","05","Amchit","",34.1500,35.6500,,
Line 208311: 208309,"LB","05","Aramoun","",33.7667,35.5167,,
Line 208345: 208343,"LB","05","Hemlâya","",33.9333,35.7000,,
Line 209145: 209143,"LB","05","Ghosta","",33.9833,35.6667,,
Line 209825: 209823,"LB","05","Beït Chabâb","",33.9333,35.6667,,
Line 210458: 210456,"LB","05","Beit Meri","",33.8656,35.5953,,
Line 211982: 211980,"LB","05","Faraya","",34.0167,35.8167,,
Line 212907: 212905,"LB","05","Ghazir","",34.0167,35.6667,,
Line 212908: 212906,"LB","05","Aïn Saâdé","",33.7000,35.5167,,
Line 212909: 212907,"LB","03","Jebla","",34.2500,35.7833,,
Line 213025: 213023,"LB","03","Cheïkh Tâba","",34.5333,36.0833,,
Line 215798: 215796,"LB","06","Naqoura","",33.1181,35.1397,,
Line 215987: 215985,"LB","01","Baalbeck","",34.0000,36.2000,,
Line 216292: 216290,"LB","05","Balloûné","",33.9500,35.6667,,
Line 217835: 217833,"LB","01","Chtaura","",33.8167,35.8500,,
Line 220095: 220093,"LB","03","Aabboûdîyé","",34.6333,36.1167,,
Line 220453: 220451,"LB","03","Koûsba","",34.2997,35.8500,,
Line 220969: 220967,"LB","05","Antoura","",33.9500,35.6333,,
Line 223633: 223631,"LB","05","Bsalim","",33.9000,35.6000,,
Line 223975: 223973,"LB","02","Sidon","",33.5631,35.3689,,
Line 224061: 224059,"LB","02","Sayda","",33.5631,35.3689,,
Line 224072: 224070,"LB","05","Salima","",33.8667,35.6833,,
Line 225353: 225351,"LB","05","Bteghrîne","",33.9297,35.7444,,
Line 226581: 226579,"LB","05","Bouâr","",34.0500,35.6333,,
Line 226871: 226869,"LB","05","Aïn Es Sihha","",33.8333,35.7500,,
Line 227365: 227363,"LB","03","Hamat","",34.2833,35.7000,,
Line 230815: 230813,"LB","03","Fih","",34.3500,35.7833,,
Line 230816: 230814,"LB","01","Mâr Eliâs","",33.8444,35.8931,,
Line 232437: 232435,"LB","05","Aaley","",33.8067,35.5994,,
Line 234620: 234618,"LB","05","Hakel","",34.1667,35.7500,,
Line 239170: 239168,"LB","05","Sarba","",33.9833,35.6167,,
Line 240793: 240791,"LB","04","Achrafie","",33.8833,35.5167,,
Line 241745: 241743,"LB","05","Adonîs","",33.9667,35.6167,,
Line 243841: 243839,"LB","05","Chiah","",33.8483,35.5281,,
Line 244937: 244935,"LB","05","Barja","",33.6503,35.4433,,
Line 245130: 245128,"LB","01","Baalbek","",34.0000,36.2000,,
Line 248673: 248671,"LB","05","Brumana","",33.8847,35.6333,,
Line 249885: 249883,"LB","05","Halat","",34.0833,35.6500,,
Line 252449: 252447,"LB","05","Dalhoûn","",33.6333,35.4667,,
Line 257464: 257462,"LB","03","Bakhoun","",34.4167,36.0167,,
Line 257635: 257633,"LB","05","Dahr El Aïn","",34.1833,35.7167,,
Line 261886: 261884,"LB","05","Haret Sakhr","",33.9833,35.6333,,
Line 262568: 262566,"LB","02","Chebaâ","",33.3500,35.7444,,
Line 264715: 264713,"LB","03","Halba","",34.5500,36.0833,,
Line 266660: 266658,"LB","05","Baaklin","",33.6739,35.5567,,
Line 266664: 266662,"LB","05","Ghadir","",33.9833,35.6333,,
Line 272709: 272707,"LB","05","Chéhim","",33.6236,35.4836,,
Line 279369: 279367,"LB","05","Baakline","",33.6739,35.5567,,
Line 282187: 282185,"LB","05","Zuq Mikha'il","",33.9717,35.6161,,
Line 282190: 282188,"LB","03","Ber'halioûn","",34.2667,35.8833,,
Line 282942: 282940,"LB","04","Ashrafiyah","",33.8833,35.5167,,
Line 282943: 282941,"LB","05","Jdeïdé","",33.6667,35.6000,,
Line 282944: 282942,"LB","05","Aajaltoûn","",33.9667,35.6833,,
Line 283408: 283406,"LB","05","Hazmie","",33.8667,35.5333,,
Line 284881: 284879,"LB","06","Joûn","",33.5806,35.4603,,
Line 284883: 284881,"LB","02","Aaïntoûra","",33.8858,35.7747,,
Line 284889: 284887,"LB","05","Bi'r Hasan","",33.8500,35.5000,,
Line 285021: 285019,"LB","03","Trâblous","",34.4333,35.8500,,
Line 285041: 285039,"LB","05","Bîr Hassan","",33.8500,35.5000,,
Line 285421: 285419,"LB","03","Miziâra","",34.3328,35.9303,,
Line 287038: 287036,"LB","05","Araya","",33.8333,35.5833,,
Line 287039: 287037,"LB","05","Bhamdoûn","",33.7958,35.6497,,
Line 287040: 287038,"LB","05","Berjein","",33.6500,35.4833,,
Line 287183: 287181,"LB","03","Barghun","",34.3500,35.7500,,
Line 287403: 287401,"LB","05","Bi'r Ash Shuhada'","",33.9667,35.7167,,
Line 287535: 287533,"LB","05","Bayâda","",34.1167,35.6667,,
Line 287765: 287763,"LB","05","Hazmiyé","",33.8667,35.5333,,
Line 288391: 288389,"LB","05","Al `adhra'","",34.0667,35.7000,,
Line 289909: 289907,"LB","05","Hâsbaïya","",33.8667,35.7167,,
Line 291759: 291757,"LB","01","Bechouât","",34.1500,36.1333,,
Line 292621: 292619,"LB","05","Aïn Anoub","",33.7833,35.5333,,
